mu_x;mu_y;mu_xp;mu_yp;sdmu;seed;game_type;max_resources;resource_variation;cost_of_reproduction;N;init_x;init_y;startup_cost;mortality_prob;dismiss_error;time;x;y;xp;yp;var_x;var_y;var_xp;var_yp;mean_resources;var_resources;mean_resources_single;var_resources_single;mean_resources_paired;var_resources_paired;npaired;nsingle;nmort;file
0.02;0.02;0.02;0.02;0.01;1044851814;1;100;1;2;1000;0.5;0.5;0.01;0.1;0.01;50000;0.082139;0.0839495;0.00917772;-0.0121047;0.000163246;7.17363e-05;0.000301855;0.000307623;0.456501;0.12056;0.439752;0.105847;0.472211;0.133851;516;484;100;./data_ipd_20230915_153151642614_1
0.02;0.02;0.02;0.02;0.01;1536187009;0;100;1;2;1000;0.5;0.5;0.01;0.1;0.01;9103;0.470726;0.469083;0.289692;-0.0426778;0.000148287;7.12623e-05;0.0303547;0.000905992;13.406;805.889;11.6521;625.161;14.3015;895.792;662;338;97;./data_ipd_20230915_153151642614_0
0.02;0.02;0.02;0.02;0.01;1173793817;0;100;1;2;1000;0.5;0.5;0.1;0.1;0.01;50000;0.358332;0.35652;0.775083;-0.1191;2.36301e-05;1.08601e-05;0.000162729;0.000106319;9.75831;700.824;4.21257;275.579;11.1971;801.102;794;206;108;./data_ipd_20230915_153151642614_2
0.02;0.02;0.02;0.02;0.01;4287784665;1;100;1;2;1000;0.5;0.5;0.1;0.1;0.01;50000;0.335108;0.333529;-1.04749;-0.18233;1.75554e-05;1.39349e-06;0.000162498;5.16099e-05;0.206502;0.121619;0.234472;0.167484;0.159284;0.0406421;372;628;110;./data_ipd_20230915_153151642614_3
0.02;0.02;0.02;0.02;0.01;2743723961;1;100;1;2;1000;0.5;0.5;0.5;0.1;0.01;50000;0.354174;0.351674;-1.05761;0.0235627;6.00217e-06;4.88133e-06;0.00050903;4.95128e-05;0.112649;0.0371936;0.138906;0.0578935;0.0933213;0.021075;576;424;78;./data_ipd_20230915_153151642614_5
0.02;0.02;0.02;0.02;0.01;422608279;0;100;1;2;1000;0.5;0.5;0.5;0.1;0.01;50000;0.329043;0.327619;0.821169;-0.165582;5.48769e-05;1.53733e-05;4.34171e-05;0.000354953;9.21397;665.902;4.93171;349.742;10.3114;741.024;796;204;110;./data_ipd_20230915_153151642614_4
0.02;0.02;0.02;0.02;0.01;2557514341;0;100;1;2;1000;0.5;0.5;1;0.1;0.01;50000;0.543793;0.545166;0.8902;-0.0252567;0.000146252;0.000111241;0.000140479;0.00015205;15.2315;1134.17;6.19499;478.458;17.5759;1277.61;794;206;104;./data_ipd_20230915_153151642614_6
0.02;0.02;0.02;0.02;0.01;2570205424;1;100;1;2;1000;0.5;0.5;1;0.1;0.01;50000;0.354644;0.350502;-0.714183;-0.0602759;6.14415e-06;3.10049e-06;0.000573216;0.000340504;0.101293;0.0358768;0.151114;0.0728692;0.0747012;0.0141005;652;348;94;./data_ipd_20230915_153151642614_7
0.02;0.02;0.02;0.02;0.01;2220215321;1;100;1;2;1000;0.5;0.5;0.01;0.1;0.01;50000;0.0781897;0.0783354;0.0202203;-0.0152776;0.000203181;0.000137406;0.000339389;0.000657089;0.45932;0.127714;0.42825;0.114853;0.482005;0.135884;578;422;110;./data_ipd_20230915_153151642614_9
0.02;0.02;0.02;0.02;0.01;762654460;0;100;1;2;1000;0.5;0.5;0.01;0.1;0.01;50000;0.317846;0.315941;0.851991;-0.0458692;7.96177e-05;4.11045e-05;0.00012843;0.000333362;10.4467;756.908;4.67538;355.3;11.9441;850.219;794;206;108;./data_ipd_20230915_153151642614_8
0.02;0.02;0.02;0.02;0.01;3018535784;1;100;1;2;1000;0.5;0.5;0.1;0.1;0.01;50000;0.342058;0.338085;-0.971646;0.0569812;8.23574e-06;8.27377e-06;0.000244618;0.000167023;0.163926;0.0582228;0.205278;0.0798178;0.121229;0.032337;492;508;85;./data_ipd_20230915_153151642614_11
0.02;0.02;0.02;0.02;0.01;3293134244;0;100;1;2;1000;0.5;0.5;0.1;0.1;0.01;50000;0.397996;0.398746;0.381339;-0.256836;0.0142756;0.0145407;0.308907;0.02396;26.2364;1689;15.5661;1086.4;31.2118;1892.14;682;318;93;./data_ipd_20230915_153151642614_10
0.02;0.02;0.02;0.02;0.01;1496216159;0;100;1;2;1000;0.5;0.5;0.5;0.1;0.01;11765;0.4587;0.457304;0.20306;-0.0486163;0.00367357;0.00343306;0.0190547;0.000696766;18.934;1109.66;11.9613;740.373;21.8097;1233.64;708;292;121;./data_ipd_20230915_153151642614_12
0.02;0.02;0.02;0.02;0.01;1089741285;1;100;1;2;1000;0.5;0.5;0.5;0.1;0.01;50000;0.351213;0.348583;-0.96999;0.0984301;8.29862e-06;1.36679e-06;0.000841356;0.000108212;0.117292;0.0422598;0.147016;0.0644346;0.0925766;0.0224759;546;454;90;./data_ipd_20230915_153151642614_13
0.02;0.02;0.02;0.02;0.01;3552731608;0;100;1;2;1000;0.5;0.5;1;0.1;0.01;50000;0.315891;0.318191;0.874481;-0.03468;5.66393e-05;1.982e-05;0.000131805;0.000222243;9.4683;697.864;6.39398;465.093;10.2369;753.103;800;200;103;./data_ipd_20230915_153151642614_14
0.02;0.02;0.02;0.02;0.01;1073939139;1;100;1;2;1000;0.5;0.5;1;0.1;0.01;50000;0.357057;0.351421;-0.563105;0.101926;1.08961e-05;7.88778e-06;0.000157466;0.000102901;0.103875;0.0341559;0.174598;0.0734792;0.0680871;0.0104457;664;336;101;./data_ipd_20230915_153151642614_15
